Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
42:00.0,6660.835347,289.320593,5410.084,20520,0.2375,0.00065024
43:00.0,6661.214724,289.867177,5410.546,20580,0.238194444,0.000652141
44:00.0,6661.673416,290.427262,5411.105,20640,0.238888889,0.000654042
45:00.0,6662.197551,290.98609,5411.744,20700,0.239583333,0.000655943
46:00.0,6662.77311,291.532141,5412.445,20760,0.240277778,0.000657845
47:00.0,6663.388376,292.056911,5413.195,20820,0.240972222,0.000659746
48:00.0,6664.032093,292.552022,5413.979,20880,0.241666667,0.000661647
49:00.0,6664.691623,293.008017,5414.783,20940,0.242361111,0.000663549
50:00.0,6665.35416,293.415949,5415.591,21000,0.243055556,0.00066545
51:00.0,6666.008527,293.768422,5416.388,21060,0.24375,0.000667351
52:00.0,6666.644231,294.058025,5417.163,21120,0.244444444,0.000669252
53:00.0,6667.249313,294.275619,5417.9,21180,0.245138889,0.000671154
54:00.0,6667.810638,294.411468,5418.585,21240,0.245833333,0.000673055
55:00.0,6668.316365,294.457752,5419.201,21300,0.246527778,0.000674956
56:00.0,6668.756992,294.408917,5419.738,21360,0.247222222,0.000676858
57:00.0,6669.123858,294.259796,5420.186,21420,0.247916667,0.000678759
58:00.0,6669.407973,294.005098,5420.532,21480,0.248611111,0.00068066
59:00.0,6669.601403,293.642368,5420.768,21540,0.249305556,0.000682561
00:00.0,6669.698916,293.176716,5420.887,21600,0.25,0.000684463
01:00.0,6669.697906,292.632282,5420.885,21660,0.250694444,0.000686364
02:00.0,6669.597586,292.117175,5420.763,21720,0.251388889,0.000688265
03:00.0,6669.399563,291.975469,5420.522,21780,0.252083333,0.000690167
04:00.0,6669.10893,292.159037,5420.167,21840,0.252777778,0.000692068
05:00.0,6668.733495,292.368068,5419.71,21900,0.253472222,0.000693969
06:00.0,6668.281642,292.526546,5419.159,21960,0.254166667,0.00069587
07:00.0,6667.761848,292.618694,5418.525,22020,0.254861111,0.000697772
08:00.0,6667.184298,292.642174,5417.821,22080,0.255555556,0.000699673
09:00.0,6666.561259,292.600044,5417.062,22140,0.25625,0.000701574
