Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
20:00.0,500.255711,8.438603,0.000012,0.000002,0,0.000001
21:00.0,500.635581,8.438375,0.000013,0.000002,0,0.000001
22:00.0,500.931368,8.438115,0.000014,0.000002,0,0.000001
23:00.0,501.144505,8.43783,0.000015,0.000002,0,0.000001
24:00.0,501.278159,8.437539,0.000015,0.000002,0,0.000001
25:00.0,501.336722,8.437261,0.000016,0.000002,0,0.000001
26:00.0,501.324501,8.437006,0.000017,0.000002,0,0.000001
27:00.0,501.244643,8.436762,0.000018,0.000002,0,0.000001
28:00.0,501.099654,8.436515,0.000019,0.000002,0,0.000001
29:00.0,500.893209,8.43627,0.00002,0.000002,0,0.000001
30:00.0,500.631385,8.436056,0.000021,0.000002,0,0.000001
31:00.0,500.322093,8.435908,0.000022,0.000002,0,0.000001
32:00.0,499.973465,8.435848,0.000023,0.000002,0,0.000001
33:00.0,499.592895,8.435875,0.000024,0.000002,0,0.000001
34:00.0,499.187446,8.43599,0.000025,0.000002,0,0.000001
35:00.0,498.764793,8.436206,0.000026,0.000002,0,0.000001
36:00.0,498.333647,8.436543,0.000027,0.000002,0,0.000001
37:00.0,497.903454,8.437016,0.000028,0.000002,0,0.000001
38:00.0,497.483975,8.437636,0.000029,0.000002,0.000001,0.000001
39:00.0,497.085274,8.438402,0.000029,0.000002,0.000001,0.000001
